Date	Customer ID	Rgn	Item	Sum of angels	Punching holes	Surface treatment	Open	Weight	Strip thickness	Tolerance	Steel grade	Meters	Revenue	Raw material cost	Total costs
04.01.2018	443945	AT	SERVICE_02959	0,000									0,00	0,00	0,00
17.09.2018	443945	AT	SERVICE_00684	0,000									7.901,43	0,00	0,00
17.09.2018	443945	AT	SERVICE_00127	0,000									384,51	0,00	0,00
17.09.2018	443945	AT	SERVICE_00127	0,000									480,64	0,00	0,00
03.01.2018	44414487	CH	SECTION_0225779-2	360,000		X	X	7.019,940	2	1	CRNI	3.000,000	31.421,80	8.541,05	14.617,93
03.01.2018	44547244	CH	SECTION_001311-1.25	360,000		X		4.342,031	1,25	4	FVZ	5.000,000	21.926,45	3.314,85	9.767,89
17.09.2018	443344	CH	SECTION_0014246-4.5	800,000		X		74.270,812	4,5	4	WB	5.000,000	121.031,95	48.106,07	70.383,02
02.01.2018	443781	AT	SECTION_0007602-4	360,000	X		X	74.402,300	4	4	FVZ	7.000,000	103.090,26	53.204,21	69.840,65
02.01.2018	442831	SE	SECTION_0006565-4	360,000	X		X	24.570,500	4	4	FVZ	2.500,000	31.400,53	17.518,63	26.378,03
02.01.2018	441437	DE	SECTION_0010724-2.5	720,000				18.898,875	2,5	4	WB	6.000,000	40.053,00	11.752,21	24.212,45
02.01.2018	441437	DE	SECTION_0010724-4	720,000				29.202,000	4	4	WB	6.000,000	60.387,60	18.763,36	34.697,66
02.01.2018	4414546	FR	SECTION_000535-4	180,000			X	15.009,200	4	4	WB	2.000,000	20.314,06	10.080,03	18.115,50
02.01.2018	4414546	FR	SECTION_000535-4	180,000			X	15.009,200	4	4	WB	2.000,000	20.314,06	10.080,03	18.115,50
02.01.2018	4414546	FR	SECTION_000535-4	180,000			X	15.009,200	4	4	WB	2.000,000	20.314,06	10.080,03	18.115,50
02.01.2018	4414546	FR	SECTION_000536-4	380,000			X	13.502,000	4	4	WB	2.000,000	18.978,96	9.067,33	17.016,30
02.01.2018	4414546	FR	SECTION_000536-4	380,000			X	13.502,000	4	4	WB	2.000,000	18.978,96	9.067,33	17.016,30
02.01.2018	4414546	FR	SECTION_000536-4	380,000			X	13.502,000	4	4	WB	2.000,000	18.978,96	9.067,33	17.016,30
02.01.2018	4461878	SK	SECTION_0200846-4	90,000		X	X	4.116,540	3	4	FVZ	2.000,000	7.291,70	2.951,81	5.572,05
02.01.2018	4434427	ES	SECTION_0016951-2	1.240,000		X		36.502,500	2	4	FVZ	7.500,000	43.134,00	26.200,71	37.400,12
02.01.2018	4434427	ES	SECTION_0016951-2	1.240,000		X		36.502,500	2	4	FVZ	7.500,000	43.134,00	26.200,71	37.400,12
03.01.2018	4414592	DE	SECTION_0014106-2.5_008	1.080,000		X		31.795,000	2,5	4	FVZ	5.000,000	42.107,00	24.086,99	36.168,69
03.01.2018	4414592	DE	SECTION_0014106-2.5_009	1.080,000		X		31.795,000	2,5	4	FVZ	5.000,000	42.107,00	24.086,99	36.168,69
03.01.2018	4414592	DE	SECTION_0014106-2.5_010	1.080,000		X		31.795,000	2,5	4	FVZ	5.000,000	42.107,00	24.086,99	36.168,69
03.01.2018	446448144	DE	SECTION_0216220-2.5	270,000	X	X	X	4.150,687	2,5	4	WB	3.000,000	8.780,85	2.719,45	7.474,52
03.01.2018	446387	ES	SECTION_0011400-2	2.241,000				25.716,600	2	4	WB	3.000,000	40.207,05	15.990,47	30.486,49
03.01.2018	446387	ES	SECTION_0011400-2	2.241,000				25.716,600	2	4	WB	3.000,000	40.207,05	15.990,47	30.486,49
03.01.2018	446387	ES	SECTION_0011400-2	2.241,000				25.716,600	2	4	WB	3.000,000	40.207,05	15.990,47	30.486,49
03.01.2018	446387	ES	SECTION_0011400-2	2.241,000				25.716,600	2	4	WB	3.000,000	40.207,05	15.990,47	30.486,49
04.01.2018	4445215	FR	SECTION_0009057-2_094	360,000		X		23.550,000	2	4	FVZ	10.000,000	28.756,00	16.900,52	25.678,52
04.01.2018	4445215	FR	SECTION_0009057-2_089	360,000		X		23.550,000	2	4	FVZ	10.000,000	28.756,00	16.900,52	25.678,52
04.01.2018	44628144	DE	SECTION_0017474-4	360,000	X		X	15.590,100	3	1	FVZ	2.000,000	22.368,06	11.518,50	18.811,78
04.01.2018	4428957	SE	SECTION_0017242-1	1.128,000			X	28.938,240	1	4	KB	6.400,000	47.587,07	20.035,19	33.217,99
04.01.2018	4428957	SE	SECTION_0017242-1	1.128,000			X	28.938,240	1	4	KB	6.400,000	65.465,09	20.035,19	41.203,90
04.01.2018	4428957	SE	SECTION_0017242-1	1.128,000			X	28.938,240	1	4	KB	6.400,000	65.465,09	20.035,19	41.203,90
04.01.2018	4428957	SE	SECTION_001723-2	540,000	X			21.195,000	2	4	WB	7.500,000	34.892,33	13.179,26	26.657,60
04.01.2018	4428957	SE	SECTION_001723-2	540,000				21.195,000	2	4	WB	7.500,000	52.454,03	13.179,26	38.436,75
04.01.2018	4428957	SE	SECTION_001723-2	540,000				21.195,000	2	4	WB	7.500,000	31.888,35	13.179,26	24.494,41
04.01.2018	44625442	TR	SECTION_0208924-4	1.017,000				260.345,250	3	4	WB	30.000,000	255.414,90	163.697,45	198.502,20
04.01.2018	44625442	TR	SECTION_0208924-4	1.017,000				260.345,250	3	4	WB	30.000,000	255.414,90	163.697,45	198.502,20
04.01.2018	444318	IL	SECTION_0015515-2	922,000				85.610,970	2	4	FVZ	18.803,200	118.955,06	64.389,89	86.356,12
04.01.2018	441652	DE	SECTION_0011454-4.75	360,000	X		X	22.333,348	4,75	4	FVZ	2.420,000	39.417,49	19.291,67	28.735,69
04.01.2018	441652	DE	SECTION_0011454-4.75	360,000	X		X	111,667	4,75	4	FVZ	0,000	32,58	96,46	6.405,11
04.01.2018	4421992	DE	SECTION_0016992-1.5	360,000	X			14.836,500	1,5	4	WB	12.000,000	35.815,34	9.637,71	26.289,48
04.01.2018	4421992	DE	SECTION_0016992-1.5	360,000	X			14.836,500	1,5	4	WB	12.000,000	65.696,03	9.637,71	48.800,46
04.01.2018	4421992	DE	SECTION_0016992-1.5	360,000	X			14.836,500	1,5	4	WB	12.000,000	62.351,99	9.637,71	43.446,29
04.01.2018	4421992	DE	SECTION_0016992-1.5	360,000	X			14.836,500	1,5	4	WB	12.000,000	38.366,12	9.637,71	27.892,65
04.01.2018	4421992	DE	SECTION_0016992-1.5	360,000	X			14.836,500	1,5	4	WB	12.000,000	39.362,61	9.637,71	28.717,75
04.01.2018	4421992	DE	SECTION_0016992-1.5	360,000	X			14.836,500	1,5	4	WB	12.000,000	43.906,35	9.637,71	31.581,52
04.01.2018	4421992	DE	SECTION_0016992-1.5	360,000	X			14.836,500	1,5	4	WB	12.000,000	43.654,15	9.637,71	31.205,28
04.01.2018	4421992	DE	SECTION_0016992-1.5	360,000	X			14.836,500	1,5	4	WB	12.000,000	48.402,42	9.637,71	34.917,39
04.01.2018	4421992	DE	SECTION_0016992-1.5	360,000	X			14.836,500	1,5	4	WB	12.000,000	41.131,26	9.637,71	32.164,65
04.01.2018	4421992	DE	SECTION_0016992-1.5	360,000	X			14.836,500	1,5	4	WB	12.000,000	42.436,41	9.637,71	33.765,84
04.01.2018	4421992	DE	SECTION_0016992-1.5	360,000	X			14.836,500	1,5	4	WB	12.000,000	56.648,79	9.637,71	57.620,45
04.01.2018	4421992	DE	SECTION_0016992-1.5	360,000	X			14.836,500	1,5	4	WB	12.000,000	37.582,89	9.637,71	31.746,62
04.01.2018	4421992	DE	SECTION_0016992-1.5	360,000	X			14.836,500	1,5	4	WB	12.000,000	43.271,87	9.637,71	34.057,90
04.01.2018	4421992	DE	SECTION_0016992-1.5	360,000	X			14.836,500	1,5	4	WB	12.000,000	37.799,73	9.637,71	29.887,51
04.01.2018	4421992	DE	SECTION_0016992-1.5	360,000	X			14.836,500	1,5	4	WB	12.000,000	69.343,80	9.637,71	58.797,99
04.01.2018	4421992	DE	SECTION_0016992-1.5	360,000	X			14.836,500	1,5	4	WB	12.000,000	76.099,02	9.637,71	70.872,33
04.01.2018	4421992	DE	SECTION_0016992-1.5	360,000	X			14.836,500	1,5	4	WB	12.000,000	62.321,82	9.637,71	57.426,31
04.01.2018	4421992	DE	SECTION_0016992-1.5	360,000	X			14.836,500	1,5	4	WB	12.000,000	50.955,00	9.637,71	41.123,52
04.01.2018	4421992	DE	SECTION_0016992-1.5	360,000				14.836,500	1,5	4	WB	12.000,000	42.440,26	9.637,71	34.075,24
04.01.2018	441238	BE	SECTION_0016978-2	540,000		X		8.399,500	2	1	WB	5.000,000	13.941,51	5.223,20	11.263,94
04.01.2018	4414525	ES	SECTION_0016592-1.2	360,000			X	2.143,050	1,2	4	KB	5.000,000	5.340,40	1.484,94	4.744,00
04.01.2018	441652	DE	SECTION_0206506-2	360,000	X	X		36.675,200	2	4	FVZ	8.000,000	73.201,74	25.707,78	45.841,47
04.01.2018	441652	DE	SECTION_0206506-2	360,000	X	X		36.675,200	2	4	FVZ	8.000,000	71.624,60	25.707,78	45.585,31
04.01.2018	441652	DE	SECTION_0206506-2	360,000	X	X		36.675,200	2	4	FVZ	8.000,000	69.700,08	25.707,78	44.994,99
04.01.2018	441652	DE	SECTION_0206506-2	360,000	X	X		36.675,200	2	4	FVZ	8.000,000	67.191,02	25.707,78	44.011,46
04.01.2018	441652	DE	SECTION_0206506-2	360,000	X	X		36.675,200	2	4	FVZ	8.000,000	86.468,49	25.707,78	54.683,36
04.01.2018	441652	DE	SECTION_0206506-2	360,000	X	X		36.675,200	2	4	FVZ	8.000,000	83.962,62	25.707,78	53.888,22
04.01.2018	441652	DE	SECTION_0206506-2	360,000	X	X		36.675,200	2	4	FVZ	8.000,000	77.317,09	25.707,78	51.030,97
04.01.2018	441652	DE	SECTION_0206506-2	360,000		X		36.675,200	2	4	FVZ	8.000,000	81.027,29	25.707,78	52.820,98
04.01.2018	4414592	DE	SECTION_000993-1.8_004	900,000		X		11.211,000	1,8	4	FVZ	3.000,000	17.900,61	8.609,32	15.328,59
04.01.2018	441652	DE	SECTION_0218400-2	841,000		X	X	21.155,750	2	4	FVZ	7.000,000	28.899,78	15.565,30	24.823,54
