"Date","Customer.ID","Rgn","Item","Sum.of.angels","Punching.holes","Surface.treatment","Open","Weight","Strip.thickness","Tolerance","Steel.grade","Meters","Revenue","Raw.material.cost","Total.costs","Complexity_Angels_Thickness","Difficulty_Thickness","Complexity_Tolerance","profit_loss","Margin","Costs_per_Meter"
2018-01-03,"44414487","CH","SECTION_0225779-2",360,"No","Yes","Yes",7019.94,2,1,"CRNI",3000,31421.8,8541.05,14617.93,"not complex","low","low",16803.87,0.534783812512332,4.87264333333333
2018-01-03,"44547244","CH","SECTION_001311-1.25",360,"No","Yes","No",4342.031,1.25,4,"FVZ",5000,21926.45,3314.85,9767.89,"not complex","medium","high",12158.56,0.55451566487051,1.953578
2018-09-17,"443344","CH","SECTION_0014246-4.5",800,"No","Yes","No",74270.812,4.5,4,"WB",5000,121031.95,48106.07,70383.02,"complex","high","high",50648.93,0.418475700011443,14.076604
2018-01-02,"443781","AT","SECTION_0007602-4",360,"Yes","No","Yes",74402.3,4,4,"FVZ",7000,103090.26,53204.21,69840.65,"not complex","high","high",33249.61,0.3225291118676,9.97723571428571
2018-01-02,"442831","SE","SECTION_0006565-4",360,"Yes","No","Yes",24570.5,4,4,"FVZ",2500,31400.53,17518.63,26378.03,"not complex","high","high",5022.5,0.159949529514311,10.551212
2018-01-02,"441437","DE","SECTION_0010724-2.5",720,"No","No","No",18898.875,2.5,4,"WB",6000,40053,11752.21,24212.45,"little complex","low","high",15840.55,0.3954897261129,4.03540833333333
2018-01-02,"441437","DE","SECTION_0010724-4",720,"No","No","No",29202,4,4,"WB",6000,60387.6,18763.36,34697.66,"little complex","high","high",25689.94,0.425417469811683,5.78294333333333
2018-01-02,"4414546","FR","SECTION_000535-4",180,"No","No","Yes",15009.2,4,4,"WB",2000,20314.06,10080.03,18115.5,"not complex","high","high",2198.56,0.108228488052118,9.05775
2018-01-02,"4414546","FR","SECTION_000535-4",180,"No","No","Yes",15009.2,4,4,"WB",2000,20314.06,10080.03,18115.5,"not complex","high","high",2198.56,0.108228488052118,9.05775
2018-01-02,"4414546","FR","SECTION_000535-4",180,"No","No","Yes",15009.2,4,4,"WB",2000,20314.06,10080.03,18115.5,"not complex","high","high",2198.56,0.108228488052118,9.05775
2018-01-02,"4414546","FR","SECTION_000536-4",380,"No","No","Yes",13502,4,4,"WB",2000,18978.96,9067.33,17016.3,"not complex","high","high",1962.66,0.103412410374436,8.50815
2018-01-02,"4414546","FR","SECTION_000536-4",380,"No","No","Yes",13502,4,4,"WB",2000,18978.96,9067.33,17016.3,"not complex","high","high",1962.66,0.103412410374436,8.50815
2018-01-02,"4414546","FR","SECTION_000536-4",380,"No","No","Yes",13502,4,4,"WB",2000,18978.96,9067.33,17016.3,"not complex","high","high",1962.66,0.103412410374436,8.50815
2018-01-02,"4461878","SK","SECTION_0200846-4",90,"No","Yes","Yes",4116.54,3,4,"FVZ",2000,7291.7,2951.81,5572.05,"not complex","medium","high",1719.65,0.235836636175377,2.786025
2018-01-02,"4434427","ES","SECTION_0016951-2",1240,"No","Yes","No",36502.5,2,4,"FVZ",7500,43134,26200.71,37400.12,"medium complex","low","high",5733.88,0.132931793944452,4.98668266666667
2018-01-02,"4434427","ES","SECTION_0016951-2",1240,"No","Yes","No",36502.5,2,4,"FVZ",7500,43134,26200.71,37400.12,"medium complex","low","high",5733.88,0.132931793944452,4.98668266666667
2018-01-03,"4414592","DE","SECTION_0014106-2.5_008",1080,"No","Yes","No",31795,2.5,4,"FVZ",5000,42107,24086.99,36168.69,"medium complex","low","high",5938.31,0.141029045051892,7.233738
2018-01-03,"4414592","DE","SECTION_0014106-2.5_009",1080,"No","Yes","No",31795,2.5,4,"FVZ",5000,42107,24086.99,36168.69,"medium complex","low","high",5938.31,0.141029045051892,7.233738
2018-01-03,"4414592","DE","SECTION_0014106-2.5_010",1080,"No","Yes","No",31795,2.5,4,"FVZ",5000,42107,24086.99,36168.69,"medium complex","low","high",5938.31,0.141029045051892,7.233738
2018-01-03,"446448144","DE","SECTION_0216220-2.5",270,"Yes","Yes","Yes",4150.687,2.5,4,"WB",3000,8780.85,2719.45,7474.52,"not complex","low","high",1306.33,0.148770335445885,2.49150666666667
2018-01-03,"446387","ES","SECTION_0011400-2",2241,"No","No","No",25716.6,2,4,"WB",3000,40207.05,15990.47,30486.49,"very complex","low","high",9720.56,0.24176257646358,10.1621633333333
2018-01-03,"446387","ES","SECTION_0011400-2",2241,"No","No","No",25716.6,2,4,"WB",3000,40207.05,15990.47,30486.49,"very complex","low","high",9720.56,0.24176257646358,10.1621633333333
2018-01-03,"446387","ES","SECTION_0011400-2",2241,"No","No","No",25716.6,2,4,"WB",3000,40207.05,15990.47,30486.49,"very complex","low","high",9720.56,0.24176257646358,10.1621633333333
2018-01-03,"446387","ES","SECTION_0011400-2",2241,"No","No","No",25716.6,2,4,"WB",3000,40207.05,15990.47,30486.49,"very complex","low","high",9720.56,0.24176257646358,10.1621633333333
2018-01-04,"4445215","FR","SECTION_0009057-2_094",360,"No","Yes","No",23550,2,4,"FVZ",10000,28756,16900.52,25678.52,"not complex","low","high",3077.48,0.107020447906524,2.567852
2018-01-04,"4445215","FR","SECTION_0009057-2_089",360,"No","Yes","No",23550,2,4,"FVZ",10000,28756,16900.52,25678.52,"not complex","low","high",3077.48,0.107020447906524,2.567852
2018-01-04,"44628144","DE","SECTION_0017474-4",360,"Yes","No","Yes",15590.1,3,1,"FVZ",2000,22368.06,11518.5,18811.78,"not complex","medium","low",3556.28,0.158989201566877,9.40589
